timestamp,conversation_id,conversation_type,conversation_turns,combination_id,combination_name,stage1_session,stage2_context,stage3_keyword,stage4_layout,status,error,node_count,node_score,keyword_overlap,max_depth,depth_score,total_score,execution_time_sec
2025-11-08 05:17:46,conv_000,learning_short,11,comb_01,simple_hierarchical,v1_simple,d1_basic,tfidf,hierarchical,success,,20.0,0.858,0.553,3.0,0.876,56.85,11.54
2025-11-08 05:17:58,conv_000,learning_short,11,comb_02,simple_force,v1_simple,d1_basic,tfidf,force,success,,22.0,0.922,0.733,3.0,0.982,72.09,4.07
2025-11-08 05:18:10,conv_000,learning_short,11,comb_03,simple_radial,v1_simple,d1_basic,tfidf,radial,success,,22.0,0.984,0.625,5.0,0.904,71.99,9.75
2025-11-08 05:18:18,conv_000,learning_short,11,comb_04,detailed_hierarchical,v2_detailed,d2_detailed,tfidf,hierarchical,success,,7.0,0.417,0.702,3.0,0.941,82.27,8.07
2025-11-08 05:18:37,conv_000,learning_short,11,comb_05,detailed_force,v2_detailed,d2_detailed,tfidf,force,success,,16.0,0.862,0.651,3.0,0.918,71.15,6.05
2025-11-08 05:19:00,conv_000,learning_short,11,comb_06,detailed_radial,v2_detailed,d2_detailed,tfidf,radial,success,,13.0,0.888,0.637,5.0,0.895,71.51,8.71
2025-11-08 05:18:58,conv_000,learning_short,11,comb_07,strict_hierarchical,v3_strict,d2_detailed,tfidf,hierarchical,success,,11.0,0.821,0.838,4.0,0.979,89.05,11.68
2025-11-08 05:19:18,conv_000,learning_short,11,comb_08,strict_force,v3_strict,d2_detailed,tfidf,force,success,,20.0,0.801,0.79,6.0,0.645,82.95,10.84
2025-11-08 05:18:40,conv_000,learning_short,11,comb_09,strict_timeline,v3_strict,d2_detailed,tfidf,timeline,success,,23.0,0.942,0.692,5.0,0.807,78.65,10.37
2025-11-08 05:19:17,conv_000,learning_short,11,comb_10,hybrid_s1d2_hier,v1_simple,d2_detailed,tfidf,hierarchical,success,,20.0,0.848,0.875,5.0,0.848,88.92,11.58
2025-11-08 05:19:40,conv_000,learning_short,11,comb_11,hybrid_s1d2_force,v1_simple,d2_detailed,tfidf,force,success,,20.0,0.936,0.745,3.0,0.962,87.3,8.74
2025-11-08 05:18:52,conv_000,learning_short,11,comb_12,hybrid_d1s2_radial,v2_detailed,d1_basic,tfidf,radial,success,,13.0,0.835,0.926,4.0,0.906,88.47,9.51
2025-11-08 05:18:57,conv_000,learning_short,11,comb_13,hybrid_str1d2_radial,v3_strict,d2_detailed,tfidf,radial,success,,21.0,0.977,0.902,5.0,0.97,89.69,13.14
2025-11-08 05:20:07,conv_000,learning_short,11,comb_14,hybrid_d1str2_timeline,v2_detailed,d2_detailed,tfidf,timeline,success,,17.0,0.836,0.669,5.0,0.97,72.46,9.8
2025-11-08 05:20:16,conv_000,learning_short,11,comb_15,hybrid_all_hier,v2_detailed,d2_detailed,tfidf,hierarchical,success,,18.0,0.926,0.863,2.0,0.915,85.5,10.02
2025-11-08 05:19:43,conv_001,learning_short,8,comb_01,simple_hierarchical,v1_simple,d1_basic,tfidf,hierarchical,failed,timeout,,,,,,,2.26
2025-11-08 05:21:45,conv_001,learning_short,8,comb_02,simple_force,v1_simple,d1_basic,tfidf,force,success,,20.0,0.914,0.734,4.0,0.859,70.15,3.67
2025-11-08 05:21:36,conv_001,learning_short,8,comb_03,simple_radial,v1_simple,d1_basic,tfidf,radial,success,,17.0,0.923,0.695,3.0,0.851,66.36,5.73
2025-11-08 05:19:41,conv_001,learning_short,8,comb_04,detailed_hierarchical,v2_detailed,d2_detailed,tfidf,hierarchical,success,,12.0,0.801,0.65,4.0,0.93,66.64,9.17
2025-11-08 05:21:53,conv_001,learning_short,8,comb_05,detailed_force,v2_detailed,d2_detailed,tfidf,force,success,,14.0,0.909,0.682,4.0,0.85,75.13,7.54
2025-11-08 05:20:32,conv_001,learning_short,8,comb_06,detailed_radial,v2_detailed,d2_detailed,tfidf,radial,success,,15.0,0.94,0.672,3.0,0.903,76.59,6.75
2025-11-08 05:22:18,conv_001,learning_short,8,comb_07,strict_hierarchical,v3_strict,d2_detailed,tfidf,hierarchical,success,,25.0,0.882,0.777,2.0,0.888,87.83,10.36
2025-11-08 05:21:30,conv_001,learning_short,8,comb_08,strict_force,v3_strict,d2_detailed,tfidf,force,success,,15.0,0.819,0.767,4.0,0.835,84.1,9.62
2025-11-08 05:22:37,conv_001,learning_short,8,comb_09,strict_timeline,v3_strict,d2_detailed,tfidf,timeline,success,,26.0,0.908,0.978,5.0,0.989,99.08,14.41
2025-11-08 05:22:59,conv_001,learning_short,8,comb_10,hybrid_s1d2_hier,v1_simple,d2_detailed,tfidf,hierarchical,success,,26.0,0.93,0.758,3.0,0.808,85.01,10.3
2025-11-08 05:21:15,conv_001,learning_short,8,comb_11,hybrid_s1d2_force,v1_simple,d2_detailed,tfidf,force,success,,20.0,0.87,0.991,5.0,0.947,95.53,10.28
2025-11-08 05:23:11,conv_001,learning_short,8,comb_12,hybrid_d1s2_radial,v2_detailed,d1_basic,tfidf,radial,success,,21.0,0.972,0.726,5.0,0.951,77.53,8.5
2025-11-08 05:24:05,conv_001,learning_short,8,comb_13,hybrid_str1d2_radial,v3_strict,d2_detailed,tfidf,radial,success,,15.0,0.99,0.874,3.0,0.899,84.01,8.79
2025-11-08 05:22:41,conv_001,learning_short,8,comb_14,hybrid_d1str2_timeline,v2_detailed,d2_detailed,tfidf,timeline,success,,30.0,0.994,0.836,2.0,0.82,84.6,8.96
